,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
26546,2,t3dl_e.mtx,4502177617927265873,8,1,1,0.00360489,-1
26547,2,t3dl_e.mtx,4502177617927265873,8,2,1,0.00176597,-1
26548,2,t3dl_e.mtx,4502177617927265873,8,3,1,0.00328207,-1
26549,2,t3dl_e.mtx,4502177617927265873,8,4,1,0.805244,-1
26550,2,t3dl.mtx,4086146393584596285,0,0,-1,inf,-1
26551,2,t3dl.mtx,4086146393584596285,0,1,-1,inf,-1
26552,2,t3dl.mtx,4086146393584596285,0,2,-1,inf,-1
26553,2,t3dl.mtx,4086146393584596285,0,3,-1,inf,-1
26554,2,t3dl.mtx,4086146393584596285,0,4,-1,inf,-1
26555,2,t3dl.mtx,4086146393584596285,1,0,-1,inf,-1
26556,2,t3dl.mtx,4086146393584596285,1,1,-1,inf,-1
26557,2,t3dl.mtx,4086146393584596285,1,2,-1,inf,-1
26558,2,t3dl.mtx,4086146393584596285,1,3,0,inf,-1
26559,2,t3dl.mtx,4086146393584596285,1,4,-1,inf,-1
26560,2,t3dl.mtx,4086146393584596285,2,0,0,inf,-1
26561,2,t3dl.mtx,4086146393584596285,2,1,0,inf,-1
26562,2,t3dl.mtx,4086146393584596285,2,2,0,inf,-1
26563,2,t3dl.mtx,4086146393584596285,2,3,0,inf,-1
26564,2,t3dl.mtx,4086146393584596285,2,4,0,inf,-1
26565,2,t3dl.mtx,4086146393584596285,3,0,-1,inf,-1
26566,2,t3dl.mtx,4086146393584596285,3,1,-1,inf,-1
26567,2,t3dl.mtx,4086146393584596285,3,2,-1,inf,-1
26568,2,t3dl.mtx,4086146393584596285,3,3,-1,inf,-1
26569,2,t3dl.mtx,4086146393584596285,3,4,-1,inf,-1
26570,2,t3dl.mtx,4086146393584596285,4,0,-1,inf,-1
26571,2,t3dl.mtx,4086146393584596285,4,1,-1,inf,-1
26572,2,t3dl.mtx,4086146393584596285,4,2,-1,inf,-1
26573,2,t3dl.mtx,4086146393584596285,4,3,-1,inf,-1
26574,2,t3dl.mtx,4086146393584596285,4,4,-1,inf,-1
26575,2,t3dl.mtx,4086146393584596285,5,0,0,inf,-1
26576,2,t3dl.mtx,4086146393584596285,5,1,0,inf,-1
26577,2,t3dl.mtx,4086146393584596285,5,2,0,inf,-1
26578,2,t3dl.mtx,4086146393584596285,5,3,0,inf,-1
26579,2,t3dl.mtx,4086146393584596285,5,4,0,inf,-1
26580,2,t3dl.mtx,4086146393584596285,6,0,0,inf,-1
26581,2,t3dl.mtx,4086146393584596285,6,1,0,inf,-1
26582,2,t3dl.mtx,4086146393584596285,6,2,0,inf,-1
26583,2,t3dl.mtx,4086146393584596285,6,3,0,inf,-1
26584,2,t3dl.mtx,4086146393584596285,6,4,0,inf,-1
26585,2,t3dl.mtx,4086146393584596285,7,0,1,0.043858999999999995,-1
26586,2,t3dl.mtx,4086146393584596285,7,1,1,0.048831900000000004,-1
26587,2,t3dl.mtx,4086146393584596285,7,2,1,0.00618005,1
26588,2,t3dl.mtx,4086146393584596285,7,3,1,0.0110149,-1
26589,2,t3dl.mtx,4086146393584596285,7,4,1,0.00566721,1
26590,2,t3dl.mtx,4086146393584596285,8,0,0,inf,-1
26591,2,t3dl.mtx,4086146393584596285,8,1,0,inf,-1
26592,2,t3dl.mtx,4086146393584596285,8,2,0,inf,-1
26593,2,t3dl.mtx,4086146393584596285,8,3,0,inf,-1
26594,2,t3dl.mtx,4086146393584596285,8,4,0,inf,-1
26595,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,0,0,-1,inf,-1
26596,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,0,1,-1,inf,-1
26597,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,0,2,-1,inf,-1
26598,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,0,3,-1,inf,-1
26599,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,0,4,-1,inf,-1
26600,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,1,0,-1,inf,-1
26601,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,1,1,-1,inf,-1
